,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,tiksi,80.0,RU,1573012393.0,96.0,71.64,128.87,249.96,1.13
2,santa barbara,1.0,US,1573012404.0,87.0,34.42,-119.7,289.82,3.2
3,kodiak,1.0,US,1573012414.0,72.0,39.95,-94.76,280.37,4.1
4,tasiilaq,100.0,GL,1573012414.0,71.0,65.61,-37.64,273.15,14.4
5,chokurdakh,67.0,RU,1573012414.0,96.0,70.62,147.9,254.13,1.6
6,pionerskiy,100.0,RU,1573012414.0,96.0,61.2,62.86,270.98,2.34
7,vardo,40.0,US,1573012415.0,61.0,39.62,-77.74,284.26,7.2
8,saint-philippe,90.0,CA,1573012415.0,70.0,45.36,-73.48,279.26,6.7
9,kavieng,100.0,PG,1573012415.0,83.0,-2.57,150.8,300.68,11.35
10,bluff,69.0,AU,1573012415.0,14.0,-23.58,149.07,301.44,2.69
11,jamestown,0.0,AU,1573012416.0,27.0,-33.21,138.6,297.07,10.75
12,biaora,1.0,IN,1573012416.0,56.0,23.92,76.91,296.52,2.81
13,cherskiy,87.0,RU,1573012416.0,75.0,68.75,161.3,263.33,0.61
14,canarana,1.0,BR,1573012416.0,68.0,-11.69,-41.77,295.67,3.06
15,khatanga,0.0,RU,1573012416.0,82.0,71.98,102.47,252.23,5.32
16,punta arenas,75.0,CL,1573012416.0,86.0,-53.16,-70.91,276.15,8.7
17,avarua,100.0,CK,1573012417.0,78.0,-21.21,-159.78,296.15,3.1
18,thompson,75.0,CA,1573012417.0,84.0,55.74,-97.86,258.15,2.1
19,kapaa,40.0,US,1573012417.0,78.0,22.08,-159.32,301.15,1.03
20,cabo san lucas,5.0,MX,1573012157.0,73.0,22.89,-109.91,300.37,4.1
21,katsuura,20.0,JP,1573012417.0,55.0,33.93,134.5,291.15,5.1
22,ushuaia,90.0,AR,1573012417.0,98.0,-54.81,-68.31,275.15,3.1
23,paharpur,0.0,PK,1573012417.0,62.0,32.1,70.97,292.67,6.76
24,menongue,100.0,AO,1573012150.0,91.0,-14.66,17.68,289.57,1.03
25,nalgonda,76.0,IN,1573012418.0,76.0,17.05,79.27,299.03,1.27
26,kruisfontein,63.0,ZA,1573012418.0,53.0,-34.0,24.73,287.14,1.26
27,hobart,75.0,AU,1573012418.0,19.0,-42.88,147.33,292.15,7.2
28,codrington,0.0,AU,1573012418.0,20.0,-28.95,153.24,301.15,3.1
30,rikitea,67.0,PF,1573012418.0,77.0,-23.12,-134.97,298.5,0.63
32,bambous virieux,40.0,MU,1573012419.0,83.0,-20.34,57.76,298.15,1.5
33,bredasdorp,100.0,ZA,1573012419.0,87.0,-34.53,20.04,292.59,2.28
34,mandan,90.0,US,1573012419.0,92.0,46.83,-100.89,271.15,3.1
35,klaksvik,100.0,FO,1573012419.0,74.0,62.23,-6.59,275.15,4.6
36,ilebo,100.0,CD,1573012419.0,98.0,-4.33,20.59,293.88,0.93
38,busselton,0.0,AU,1573012419.0,33.0,-33.64,115.35,296.48,3.58
39,beaufort,75.0,MY,1573012419.0,78.0,5.36,115.76,300.93,4.1
40,konya,0.0,TR,1573012419.0,86.0,37.87,32.48,278.15,0.28
41,stranda,100.0,NO,1573012420.0,64.0,62.31,6.93,275.15,6.2
42,port alfred,56.0,ZA,1573012420.0,85.0,-33.59,26.89,291.48,1.34
43,pisco,40.0,PE,1573012420.0,82.0,-13.71,-76.2,290.93,5.1
44,ponta do sol,92.0,BR,1573012420.0,85.0,-20.63,-46.0,294.2,0.28
46,upernavik,100.0,GL,1573012420.0,68.0,72.79,-56.15,265.26,2.7
47,vladyslavivka,100.0,UA,1573012420.0,10.0,50.53,25.74,283.71,4.51
48,cape town,75.0,ZA,1573011926.0,93.0,-33.93,18.42,289.82,6.2
49,kinango,20.0,KE,1573012420.0,100.0,-4.13,39.32,297.15,2.6
50,dikson,93.0,RU,1573012421.0,82.0,73.51,80.55,253.95,5.3
51,butaritari,65.0,KI,1573012421.0,71.0,3.07,172.79,302.5,4.32
52,carnarvon,33.0,ZA,1573012421.0,40.0,-30.97,22.13,291.29,2.42
54,santander,75.0,PH,1573012421.0,74.0,9.42,123.33,302.15,2.1
55,albany,90.0,US,1573012421.0,78.0,42.65,-73.75,280.37,3.03
56,mataura,80.0,NZ,1573012421.0,69.0,-46.19,168.86,290.93,1.69
57,saint-pierre,75.0,FR,1573012421.0,100.0,48.95,4.24,281.15,2.6
58,torbay,90.0,CA,1573012421.0,86.0,47.66,-52.73,279.26,2.6
60,hermanus,88.0,ZA,1573012422.0,66.0,-34.42,19.24,292.59,5.81
61,vao,100.0,EE,1573012422.0,81.0,59.1,26.19,272.86,3.53
62,rawson,1.0,AR,1573012422.0,45.0,-43.3,-65.11,289.05,11.16
63,conceicao do coite,0.0,BR,1573012422.0,76.0,-11.56,-39.28,294.67,3.09
64,ostrovnoy,99.0,RU,1573012422.0,81.0,68.05,39.51,270.57,3.07
65,sheridan,1.0,US,1573012422.0,86.0,39.65,-105.03,281.15,1.97
66,fortuna,90.0,US,1573012161.0,100.0,40.6,-124.16,283.15,3.1
69,tuktoyaktuk,90.0,CA,1573012423.0,92.0,69.44,-133.03,270.15,10.3
70,sarkand,100.0,KZ,1573012423.0,75.0,45.41,79.91,273.08,1.08
71,saskylakh,23.0,RU,1573012423.0,96.0,71.97,114.09,249.48,2.45
72,mahebourg,40.0,MU,1573012423.0,83.0,-20.41,57.7,298.15,1.5
73,norman wells,75.0,CA,1573012423.0,84.0,65.28,-126.83,256.15,2.1
74,nikolskoye,100.0,RU,1573012424.0,55.0,59.7,30.79,274.26,5.0
75,dawson creek,1.0,CA,1573012424.0,91.0,55.76,-120.23,261.15,2.1
76,mar del plata,31.0,AR,1573012180.0,42.0,-46.43,-67.52,286.91,16.61
77,atuona,25.0,PF,1573012424.0,78.0,-9.8,-139.03,300.24,8.46
78,provideniya,2.0,RU,1573012424.0,73.0,64.42,-173.23,269.15,2.0
80,viedma,0.0,AR,1573012424.0,41.0,-40.81,-62.99,287.39,5.07
81,port hardy,90.0,CA,1573012172.0,100.0,50.7,-127.42,280.15,2.1
82,key west,75.0,US,1573012175.0,79.0,47.93,-96.78,268.15,1.39
84,qaanaaq,0.0,GL,1573012425.0,57.0,77.48,-69.36,257.38,4.09
85,arraial do cabo,100.0,BR,1573012425.0,93.0,-22.97,-42.02,296.8,8.53
87,neyshabur,0.0,IR,1573012425.0,25.0,36.21,58.79,275.13,2.51
88,alyangula,2.0,AU,1573012425.0,36.0,-13.85,136.42,308.15,3.6
89,orimattila,53.0,FI,1573012425.0,72.0,60.8,25.73,269.26,4.1
90,saint george,20.0,GR,1573012425.0,81.0,39.45,22.34,285.15,2.6
91,matay,0.0,EG,1573012425.0,92.0,28.42,30.79,289.43,3.58
92,namatanai,100.0,PG,1573012426.0,69.0,-3.66,152.44,302.23,4.15
93,srednekolymsk,100.0,RU,1573012426.0,94.0,67.46,153.71,257.21,1.89
95,mendi,81.0,ET,1573012426.0,94.0,9.8,35.1,289.89,1.93
96,sao joao da barra,69.0,BR,1573012193.0,83.0,-21.64,-41.05,298.39,2.89
97,nuuk,96.0,GL,1573012426.0,86.0,64.17,-51.74,273.15,1.5
98,faanui,10.0,PF,1573012426.0,71.0,-16.48,-151.75,300.69,2.9
